0	0.0740	0.4391	0.2023	0.5674
0	0.4342	0.8487	0.5197	0.9342
0	0.7368	0.1990	0.8520	0.3141
1	0.3783	0.4178	0.4572	0.4967
1	0.2368	0.3668	0.3191	0.4490
1	0.5000	0.3421	0.5855	0.4276
2	0.5938	0.6678	0.6661	0.7401
2	0.6842	0.7171	0.7993	0.8322
2	0.1546	0.6612	0.2796	0.7862
3	0.8355	0.6760	0.9276	0.7681
3	0.4276	0.0543	0.5329	0.1595
3	0.2681	0.5461	0.3405	0.6184
4	0.4030	0.6957	0.4688	0.7615
4	0.6776	0.5559	0.7763	0.6546
4	0.1283	0.8174	0.2434	0.9326
5	0.4145	0.1908	0.5132	0.2895
5	0.1711	0.0773	0.2961	0.2023
5	0.3059	0.8109	0.3882	0.8931
6	0.8602	0.8454	0.9326	0.9178
6	0.0411	0.5822	0.1661	0.7072
6	0.5312	0.4918	0.6069	0.5674
7	0.1513	0.2549	0.2270	0.3306
7	0.6974	0.0674	0.7730	0.1431
7	0.7319	0.3651	0.8076	0.4408
8	0.6086	0.2270	0.6842	0.3026
8	0.8125	0.4720	0.8882	0.5477
8	0.5954	0.8372	0.6711	0.9128
