0	0.6628	0.5164	0.7319	0.5855
0	0.2155	0.3520	0.2911	0.4276
0	0.2319	0.4885	0.3273	0.5839
1	0.4868	0.1414	0.5691	0.2237
1	0.5082	0.4836	0.6069	0.5822
1	0.8273	0.7401	0.9556	0.8684
2	0.7155	0.1020	0.8076	0.1941
2	0.6184	0.2352	0.7171	0.3339
2	0.1974	0.2023	0.2862	0.2911
3	0.3536	0.3059	0.4720	0.4243
3	0.7714	0.2747	0.8898	0.3931
3	0.0609	0.2845	0.1628	0.3865
4	0.1579	0.8158	0.2599	0.9178
4	0.6168	0.8207	0.7188	0.9227
4	0.4951	0.7007	0.6036	0.8092
5	0.3668	0.5609	0.4720	0.6661
5	0.8109	0.5592	0.9260	0.6743
5	0.3487	0.8470	0.4507	0.9490
6	0.7204	0.6694	0.8257	0.7747
6	0.1135	0.0954	0.1891	0.1711
6	0.0938	0.6431	0.2023	0.7516
7	0.2566	0.7023	0.3651	0.8109
7	0.0987	0.4227	0.2072	0.5312
7	0.5592	0.3569	0.6678	0.4655
8	0.3438	0.0559	0.4523	0.1645
8	0.7714	0.4375	0.8799	0.5461
8	0.8355	0.0444	0.9441	0.1530
