0	0.2599	0.5296	0.3586	0.6283
0	0.2500	0.2730	0.3191	0.3421
0	0.1974	0.0822	0.3026	0.1875
1	0.7500	0.1826	0.8586	0.2911
1	0.1053	0.2845	0.1974	0.3766
1	0.5329	0.4885	0.6184	0.5740
2	0.7072	0.6480	0.8026	0.7434
2	0.8536	0.3536	0.9326	0.4326
2	0.5954	0.3602	0.7105	0.4753
3	0.1250	0.8388	0.2336	0.9474
3	0.7632	0.7895	0.8882	0.9145
3	0.6332	0.7632	0.7484	0.8783
4	0.2253	0.3964	0.3306	0.5016
4	0.8355	0.6694	0.9342	0.7681
4	0.3964	0.1579	0.4951	0.2566
5	0.3520	0.6990	0.4803	0.8273
5	0.4819	0.7615	0.6036	0.8832
5	0.1217	0.6941	0.2303	0.8026
6	0.5872	0.0493	0.7155	0.1776
6	0.0559	0.0724	0.1579	0.1743
6	0.7697	0.5066	0.8454	0.5822
7	0.4194	0.3339	0.4951	0.4095
7	0.5658	0.6464	0.6414	0.7220
7	0.8569	0.0806	0.9326	0.1562
8	0.3421	0.8602	0.4178	0.9359
8	0.5510	0.2418	0.6266	0.3174
8	0.0806	0.4359	0.1562	0.5115
