0	0.2895	0.2007	0.3750	0.2862
0	0.0938	0.6678	0.1595	0.7336
0	0.4934	0.3076	0.5954	0.4095
1	0.0543	0.0872	0.1595	0.1924
1	0.3421	0.7911	0.4079	0.8569
1	0.2664	0.4424	0.3322	0.5082
2	0.4211	0.6661	0.5263	0.7714
2	0.5757	0.4688	0.6678	0.5609
2	0.0938	0.8355	0.2122	0.9539
3	0.7533	0.3717	0.8388	0.4572
3	0.5000	0.1316	0.5921	0.2237
3	0.5970	0.7319	0.7089	0.8438
4	0.6020	0.2253	0.7237	0.3470
4	0.3010	0.5543	0.4293	0.6826
4	0.8454	0.8553	0.9276	0.9375
5	0.8421	0.5197	0.9309	0.6086
5	0.6924	0.0839	0.7615	0.1530
5	0.8257	0.1316	0.9539	0.2599
6	0.7171	0.6414	0.8355	0.7599
6	0.3980	0.4326	0.5099	0.5444
6	0.0641	0.4786	0.1924	0.6069
7	0.2253	0.0345	0.3536	0.1628
7	0.0658	0.2648	0.1941	0.3931
7	0.3273	0.3076	0.4556	0.4359
8	0.1809	0.6974	0.3092	0.8257
8	0.5000	0.8224	0.6283	0.9507
8	0.3586	0.0378	0.4868	0.1661
