0	0.2237	0.5806	0.3322	0.6891
0	0.5921	0.1184	0.6974	0.2237
0	0.2977	0.2138	0.4227	0.3388
1	0.7204	0.3322	0.8355	0.4474
1	0.7451	0.6727	0.8701	0.7977
1	0.1266	0.2895	0.2089	0.3717
2	0.5921	0.7911	0.7204	0.9194
2	0.3832	0.7072	0.4819	0.8059
2	0.5691	0.4276	0.6579	0.5164
3	0.5132	0.5839	0.6250	0.6957
3	0.0625	0.7023	0.1513	0.7911
3	0.3207	0.0773	0.3964	0.1530
4	0.2796	0.8421	0.3520	0.9145
4	0.4523	0.2401	0.5345	0.3224
4	0.3882	0.4095	0.4737	0.4951
5	0.4770	0.8438	0.5789	0.9457
5	0.0641	0.5148	0.1661	0.6168
5	0.7780	0.4753	0.9030	0.6003
6	0.8651	0.2171	0.9342	0.2862
6	0.1974	0.4326	0.3224	0.5576
6	0.1562	0.1530	0.2582	0.2549
7	0.6480	0.5345	0.7500	0.6365
7	0.7648	0.0740	0.8668	0.1760
7	0.5905	0.2599	0.6924	0.3618
8	0.1250	0.8207	0.2270	0.9227
8	0.7451	0.8355	0.8470	0.9375
8	0.4424	0.0757	0.5444	0.1776
