0	0.7763	0.7188	0.8750	0.8174
0	0.7845	0.0789	0.8668	0.1612
0	0.7533	0.2056	0.8618	0.3141
1	0.0987	0.7138	0.2105	0.8257
1	0.3388	0.3783	0.4507	0.4901
1	0.3109	0.7944	0.4260	0.9095
2	0.2714	0.1875	0.3865	0.3026
2	0.2763	0.5888	0.3980	0.7105
2	0.6711	0.4211	0.7533	0.5033
3	0.4408	0.1020	0.5526	0.2138
3	0.5444	0.7648	0.6234	0.8438
3	0.0707	0.5296	0.1365	0.5954
4	0.5362	0.3010	0.6612	0.4260
4	0.4342	0.4803	0.5559	0.6020
4	0.6447	0.6332	0.7730	0.7615
5	0.0822	0.1530	0.1711	0.2418
5	0.3092	0.0592	0.4243	0.1743
5	0.8240	0.3306	0.9326	0.4391
6	0.2566	0.4852	0.3257	0.5543
6	0.6250	0.1414	0.6908	0.2072
6	0.4605	0.6053	0.5888	0.7336
7	0.6497	0.7862	0.7780	0.9145
7	0.1842	0.2928	0.3125	0.4211
7	0.8158	0.4655	0.9441	0.5938
8	0.3914	0.2188	0.5197	0.3470
8	0.0477	0.2862	0.1760	0.4145
8	0.7977	0.8322	0.9260	0.9605
