0	0.8109	0.6974	0.9161	0.8026
0	0.5296	0.0888	0.6020	0.1612
0	0.0658	0.7714	0.1842	0.8898
1	0.0855	0.4260	0.1645	0.5049
1	0.5740	0.5822	0.6859	0.6941
1	0.2171	0.7747	0.3355	0.8931
2	0.7928	0.0691	0.9013	0.1776
2	0.7845	0.3405	0.8898	0.4457
2	0.4655	0.4523	0.5707	0.5576
3	0.4211	0.2615	0.4967	0.3372
3	0.6053	0.7780	0.6776	0.8503
3	0.3306	0.6809	0.4030	0.7533
4	0.1118	0.6546	0.1875	0.7303
4	0.1908	0.5214	0.2664	0.5970
4	0.7007	0.4424	0.8289	0.5707
5	0.6464	0.1809	0.7155	0.2500
5	0.4424	0.8092	0.5214	0.8882
5	0.3832	0.1086	0.4885	0.2138
6	0.6332	0.3191	0.7188	0.4046
6	0.0938	0.2599	0.1760	0.3421
6	0.2632	0.3964	0.3355	0.4688
7	0.7730	0.2270	0.8454	0.2993
7	0.2500	0.1941	0.3224	0.2664
7	0.1036	0.1086	0.1760	0.1809
8	0.8454	0.5543	0.9178	0.6266
8	0.7089	0.8602	0.7812	0.9326
8	0.4507	0.5970	0.5230	0.6694
